Designator,Mid X,Mid Y,Rotation,Layer
C1,160.651,-90.445,180.0,top
C2,146.227,-100.255,90.0,top
C3,165.772,-88.053,90.0,top
C4,149.642,-91.589,270.0,top
C5,158.464,-99.806,180.0,top
C6,165.929,-95.862,180.0,top
C7,150.671,-91.573,90.0,top
D1,155.57,-91.31,180.0,top
IC1,147.355,-90.628,90.0,top
IC2,162.683,-87.628,180.0,top
J1,155.77,-82.76,0.0,top
J2,165.749,-98.269,0.0,top
L1,149.925,-96.945,90.0,top
L2,147.466,-93.755,180.0,top
R1,162.641,-85.027,0.0,top
R2,152.505,-87.448,90.0,top
SW1,155.627,-96.523,0.0,top
U1,154.532,-91.443,180.0,bottom
U3,164.409,-93.526,180.0,top
U5,147.191,-97.145,270.0,top
