Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100n,
"C2, C5",0402,2,100n,
C3,0603,1,4.7u,
C6,0402,1,4.7u,
D1,LED-ARRAY-SMD_4P-L2.1-W2.1-TL_NH-B2020RGBA,1,NH-B2020RGBA-HF,
IC2,SOT95P280X145-5N,1,INA180A4IDBVR,
J2,CONN_A-4094-02A_MOL,1,22122021,
L1,0805,1,2.2u,
R1,0603,1,10,
R2,0603,1,1k,
SW1,SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8,1,SW_Push,
U1,BAT-SMD_MY-2032-08,1,MY-2032-08,
"U2, U4, U6, U7, U8, U9",TestPoint_Pad_1.0x1.0mm,6,~,
U3,ST_UFQFPN-20_3x3mm_P0.5mm,1,STM32C011F6U6TR,
U5,SOT-23-5,1,TPS613221ADBV,
